tag,faction,max,kdr
RAUG,tr,3.832897983,0.921
HNYB,tr,4.69228447,1.047
420N,tr,3.69894569,0.700
BWC,tr,3.74595068,1.212
RTIL,tr,3.924537091,0.779
1TR,tr,3.739754821,0.966
VG,tr,4.282256223,1.260
AJA,tr,2.923136186,1.001
FRZA,tr,3.945038298,1.619
LUXE,tr,5.021536981,1.412
NSX,tr,4.55222938,1.088
TRAF,tr,3.834495919,0.983
YGZ,tr,2.724326514,0.825
SRCT,tr,5.053060349,0.974
ADRE,tr,3.528229129,1.234
CPLA,tr,2.604166667,1.065
HR,tr,5.052685248,1.074
ODMN,tr,3.87431454,1.045
6HB,tr,4.464735869,0.833
903,tr,4.129413927,1.256
SSGO,vs,4.952061326,0.911
AT,vs,4.577426906,1.099
GOTR,vs,4.486756862,1.326
GOKU,vs,5.678742782,1.817
V,vs,4.537943949,1.366
KOS,vs,4.261721722,0.884
D3RP,vs,4.328927044,1.148
WILL,vs,6.881403051,1.185
TEST,vs,3.526344579,1.076
tDTP,vs,3.041380319,0.670
NTMR,vs,4.848130506,0.996
xVIP,vs,4.013612251,1.229
VULT,vs,4.480451851,1.151
SGK,vs,4.02728462,0.839
DAWN,vs,3.621035729,1.077
VREV,vs,4.488255034,1.071
M41N,vs,4.943364564,0.779
S0VA,vs,2.984429066,0.802
3HOT,vs,4.455834141,0.700
SqV,vs,4.267118761,1.055
TAS,nc,3.356794802,0.881
CMPS,nc,3.331810655,0.797
HYUN,nc,3.214338617,0.907
GOON,nc,4.762896081,1.167
BL,nc,5.221323935,0.940
DREV,nc,4.016511373,0.942
4ACE,nc,2.868121312,0.851
VCO,nc,4.998390123,0.913
PU5H,nc,3.032786885,0.737
LuxO,nc,4.990811291,0.930
TG,nc,5.042530309,1.030
WOFI,nc,3.085061561,0.929
COBR,nc,5.150727942,1.106
BAX,nc,4.166638584,1.609
KN1,nc,2.75233036,0.909
NCC4,nc,3.387375104,0.756
LEGD,nc,1.275045537,0.600
RITE,nc,3.564481838,0.821
DVS,nc,5.659406348,1.503
ANGC,nc,2.954519018,1.049
